1 1:0.275894476761 2:0.222760930977 3:0.22038156695 4:246 5:246 6:246 7:16 8:16 9:18 10:13.110299608 11:14.499576165 12:15.3135229398 13:5663.0 14:4513.0 15:3969.0 
1 1:0.440149550084 2:0.351453784521 3:0.287287664771 4:27 5:27 6:27 7:24 8:24 9:25 10:8.3122097784 11:8.69890102974 12:12.5809069842 13:5590.0 14:4551.0 15:4070.0 
1 1:0.173364730992 2:0.103185689589 3:0.0482445191599 4:236 5:236 6:236 7:10 8:7 9:3 10:11.5924732077 11:11.0041900001 12:13.7553191886 13:6079.0 14:5039.0 15:4665.0 
1 1:0.0729097861492 2:0.0103654084616 3:0.025157316313 4:229 5:229 6:229 7:4 8:1 9:2 10:9.42991389119 11:9.93560530948 12:12.2966868312 13:6178.0 14:5103.0 15:4754.0 
1 1:0.0184462618368 2:0.0646680555095 3:0.0156735393404 4:3 5:3 6:3 7:0 8:4 9:1 10:10.0355007046 11:10.4704995386 12:14.2966320124 13:6540.0 14:5574.0 15:4891.0 
1 1:0.0158527606791 2:0.0301407045586 3:0.0345111785326 4:6 5:6 6:6 7:0 8:4 9:5 10:9.06135729863 11:9.15571711248 12:10.8068873014 13:6435.0 14:5399.0 15:4814.0 
1 1:0.202066143804 2:0.163122779335 3:0.210767875225 4:235 5:235 6:235 7:10 8:10 9:20 10:4.36516638164 11:4.55475344188 12:5.85367274458 13:6231.0 14:5063.0 15:4266.0 
1 1:0.299754687412 2:0.287331561327 3:0.332757828338 4:249 5:249 6:249 7:17 8:20 9:24 10:0.973410518285 11:0.442163762535 12:3.83215916127 13:5955.0 14:4773.0 15:3800.0 
1 1:0.321540097137 2:0.388671578403 3:0.438638352073 4:240 5:240 6:240 7:17 8:24 9:34 10:2.84757471462 11:0.497229039414 12:2.03323280671 13:5578.0 14:4238.0 15:3342.0 
1 1:0.310647392275 2:0.365653344436 3:0.416552844055 4:245 5:245 6:245 7:19 8:27 9:34 10:7.28624926232 11:4.2341934489 12:5.00312509237 13:5462.0 14:4104.0 15:3210.0 
1 1:0.337792704392 2:0.423647336509 3:0.477482863235 4:253 5:253 6:253 7:21 8:31 9:38 10:8.41372708975 11:8.32278911245 12:9.53674357449 13:5430.0 14:3966.0 15:3217.0 
1 1:0.396060030403 2:0.420359017371 3:0.517756436681 4:39 5:39 6:39 7:25 8:32 9:43 10:9.62292840277 11:9.20208835975 12:8.33450225431 13:5389.0 14:3951.0 15:3026.0 
1 1:0.169733829371 2:0.212447566408 3:0.260525225643 4:248 5:248 6:248 7:10 8:16 9:20 10:5.41509216486 11:1.46338985361 12:3.17274577625 13:5843.0 14:4474.0 15:3758.0 
1 1:0.0636812748247 2:0.00244354871962 3:0.00463078533122 4:215 5:215 6:215 7:7 8:4 9:5 10:7.90396888967 11:6.25912575692 12:8.8792077144 13:6215.0 14:4919.0 15:4456.0 
1 1:0.110537195741 2:0.111750806806 3:0.111550627091 4:5 5:5 6:5 7:7 8:8 9:10 10:11.915583103 11:11.7960095208 12:14.6477645493 13:6347.0 14:5211.0 15:4694.0 
1 1:0.128691703845 2:0.0872378823215 3:0.105704463204 4:6 5:6 6:6 7:7 8:5 9:8 10:10.8257373281 11:13.7123742169 12:16.5125066426 13:6482.0 14:5223.0 15:4749.0 
1 1:0.222576445755 2:0.2189201169 3:0.236008960512 4:214 5:214 6:214 7:12 8:14 9:17 10:12.7358398567 11:14.482252824 12:18.5690899139 13:6713.0 14:5567.0 15:5078.0 
1 1:0.203449344422 2:0.0496757690679 3:0.0204427620073 4:236 5:236 6:236 7:11 8:4 9:1 10:10.9922944998 11:11.4313452023 12:12.8278210192 13:5938.0 14:5112.0 15:4557.0 
1 1:0.0969428968775 2:0.011262222772 3:0.0150239655752 4:2 5:2 6:2 7:5 8:1 9:2 10:8.43656313459 11:10.0536726586 12:11.9476277653 13:6183.0 14:5184.0 15:4839.0 
1 1:0.0569381718146 2:0.0969533706843 3:0.0990788107982 4:2 5:2 6:2 7:2 8:5 9:7 10:12.038064522 11:13.0572209157 12:15.7066679674 13:6485.0 14:5431.0 15:4997.0 
1 1:0.141659209634 2:0.179908694397 3:0.127919885975 4:216 5:216 6:216 7:9 8:12 9:13 10:12.8830566708 11:11.6945569459 12:12.897396989 13:6568.0 14:5531.0 15:4900.0 
1 1:0.0813818899311 2:0.0904808201916 3:0.183485777084 4:220 5:220 6:220 7:5 8:8 9:17 10:9.743430997 11:7.14191095897 12:10.5617027279 13:6163.0 14:4944.0 15:4101.0 
1 1:0.384129925077 2:0.385383259265 3:0.413045145723 4:239 5:239 6:239 7:17 8:23 9:28 10:1.38844516681 11:2.46624077053 12:5.018319005 13:5717.0 14:4394.0 15:3474.0 
1 1:0.534552992226 2:0.514673989016 3:0.61571216048 4:242 5:242 6:242 7:26 8:33 9:47 10:3.48239893756 11:3.6062278815 12:7.49335773459 13:5305.0 14:4041.0 15:2922.0 
1 1:0.678924556673 2:0.756813852827 3:0.811883437584 4:275 5:275 6:275 7:40 8:52 9:63 10:6.89839078014 11:7.74430965666 12:13.3848043728 13:5153.0 14:3579.0 15:2492.0 
1 1:0.688434060918 2:0.776543767656 3:0.869175843679 4:160 5:160 6:160 7:39 8:52 9:67 10:5.5014498649 11:4.78617222133 12:11.2038452975 13:5132.0 14:3568.0 15:2389.0 
1 1:0.728028178592 2:0.830651564384 3:0.902563935213 4:168 5:168 6:168 7:41 8:55 9:70 10:7.74931256695 11:10.6493004963 12:14.3618065598 13:5038.0 14:3372.0 15:2204.0 
1 1:0.532305291222 2:0.698969329805 3:0.755630349514 4:179 5:179 6:179 7:33 8:48 9:60 10:10.3865345751 11:13.0952299597 12:16.3955834269 13:5122.0 14:3382.0 15:2358.0 
1 1:0.502566477947 2:0.596433560315 3:0.681968684535 4:251 5:251 6:251 7:29 8:40 9:52 10:12.3878573981 11:12.8244740977 12:17.6354968108 13:5205.0 14:3568.0 15:2561.0 
1 1:0.364419316278 2:0.494196728928 3:0.619609603071 4:192 5:192 6:192 7:21 8:34 9:47 10:13.3091013835 11:13.0452655008 12:15.2786278709 13:5399.0 14:3806.0 15:2922.0 
1 1:0.427009144218 2:0.601366039022 3:0.650399399544 4:249 5:249 6:249 7:26 8:42 9:51 10:8.60033486139 11:8.65865429674 12:10.7880183448 13:5443.0 14:3699.0 15:2943.0 
1 1:0.382400924305 2:0.531265053759 3:0.464751217436 4:189 5:189 6:189 7:21 8:37 9:38 10:7.87633404843 11:7.15692546904 12:9.93249126412 13:5555.0 14:3914.0 15:3343.0 
1 1:0.158668224432 2:0.217380045115 3:0.236750825835 4:229 5:229 6:229 7:9 8:15 9:21 10:8.75810673667 11:6.21095898529 12:7.66922191221 13:6021.0 14:4648.0 15:3954.0 
1 1:0.0761948876157 2:0.117385249504 3:0.120736951361 4:218 5:218 6:218 7:3 8:8 9:6 10:6.67477017452 11:6.30261450324 12:6.96191234282 13:6010.0 14:4718.0 15:4204.0 
